# (c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;
# Reihenfolge der Landeslisten und Kreiswahlvorschläge bei der Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;;;;
# Übrige: 2025: Andere Kreiswahlvorschläge (Einzelkandidierende und Wählergruppen). 2021: Andere Kreiswahlvorschläge sowie Parteien, die nicht mehr mit eigenen Wahlvorschlägen antreten.;;;;;;;;;;;;;;;;;;;
# Bei Parteien, die keine Kurzbezeichnung führen, wurde aus technischen Gründen eine fiktive Kurzbezeichnung gebildet.;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;
GruppennameKurz;Gruppenname;Gruppenschluessel;BUND;SH;MV;HH;NI;HB;BB;ST;BE;NW;SN;HE;TH;RP;BY;BW;SL
Wahlberechtigte;Wahlberechtigte;100;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4
Wählende;Wählende;200;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
Ungültige;Ungültige;300;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Gültige;Gültige;400;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
SPD;Sozialdemokratische Partei Deutschlands;2;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;1
CDU;Christlich Demokratische Union Deutschlands;1;2;2;3;3;2;3;3;2;3;2;3;2;3;2;;1;2
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;3;3;3;6;2;3;2;5;6;2;3;6;3;6;3;3;3;12
FDP;Freie Demokratische Partei;7;4;4;5;4;4;4;4;5;6;4;4;4;5;4;4;4;3
AfD;Alternative für Deutschland;5;5;5;2;6;5;6;2;3;5;5;1;5;1;5;5;5;4
CSU;Christlich-Soziale Union in Bayern e.V.;6;6;;;;;;;;;;;;;;1;;
Die Linke;Die Linke;4;7;6;4;5;6;5;6;4;4;6;5;6;4;7;7;6;5
FREIE WÄHLER;FREIE WÄHLER;8;8;9;8;9;10;8;7;7;10;11;7;7;7;6;6;8;7
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;10;9;;7;7;7;;;;7;7;8;8;;8;9;9;6
dieBasis;Basisdemokratische Partei Deutschland;63;10;;;;8;;;;;9;;;;;8;7;
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;14;11;8;;8;9;7;8;8;8;8;9;9;;9;10;10;
Team Tödenhöfer;Die Gerechtigkeitspartei – Team Todenhöfer;53;12;;;;;;;;9;10;;;;;;;
PIRATEN;Piratenpartei Deutschland;9;13;;;;11;;;;;;10;;;;;;9
Volt;Volt Deutschland;44;14;10;9;10;12;9;9;9;11;12;11;10;8;10;13;11;8
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;13;15;;;;;;;;;;;;;11;11;12;
SSW;Südschleswigscher Wählerverband;59;16;7;;;;;;;;;;;;;;;
Verjüngungsforschung;Partei für Verjüngungsforschung;41;17;;;;;15;;;;;;;;;;;
PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;45;18;;;;13;;;;;;12;11;;;14;;
Bündnis C;Bündnis C - Christen für Deutschland;58;19;;;;;;;;;;;;;;;13;
BP;Bayernpartei;18;20;;;;;;;;;;;;;;12;;
MLPD;Marxistisch-Leninistische Partei Deutschlands;23;21;11;10;11;14;11;10;10;12;13;13;12;9;12;15;14;10
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;46;22;;;;;10;;;;;;;;;;;
PdF;Partei des Fortschritts;67;23;;;;;;;;18;14;;;;;;;
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;25;24;;;;;;;;14;;;;;;;;
BüSo;Bürgerrechtsbewegung Solidarität;17;25;;;;;;;;13;;;;;;;;
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;72;26;12;11;12;15;12;11;11;15;15;14;13;10;13;16;15;11
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;64;27;13;12;13;16;13;12;12;16;16;15;14;11;14;17;16;13
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;51;28;;;;;14;;;17;17;;;;;;;
WerteUnion;WerteUnion;83;29;;;;;;;;;18;;;;;;;
Übrige;Übrige;28;30;14;13;14;17;16;13;13;19;19;16;15;12;15;18;17;14
