level,key,n_susp,total_miss
gemeinde,"BY:Rieneck, St",1.0,37.8
gemeinde,"SH:Flensburg, Stadt",1.0,35.4
gemeinde,"SH:Wedel, Stadt",1.0,34.0
gemeinde,"HH:Hamburg, Freie und Hansestadt, Bezirk Bergedorf",1.0,32.3
gemeinde,BY:Durach,2.0,30.5
gemeinde,"HH:Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel",1.0,28.4
gemeinde,"HH:Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil)",1.0,27.9
gemeinde,"NI:Meppen, Stadt",1.0,26.4
gemeinde,"NI:Neustadt am Rübenberge, Stadt",1.0,26.2
gemeinde,"NW:Tecklenburg, Stadt",1.0,23.4
gemeinde,"RP:Lahnstein, Stadt",1.0,23.2
gemeinde,"HE:Hochheim am Main, Stadt",1.0,22.9
gemeinde,"HH:Hamburg, Freie und Hansestadt, Bezirk Harburg",1.0,22.7
gemeinde,"BY:Rottenburg a.d.Laaber, St",3.0,21.9
gemeinde,NI:Ilsede,1.0,20.6
gemeinde,NW:Reichshof,1.0,20.4
gemeinde,BY:Augsburg,1.0,18.8
gemeinde,BY:Veitshöchheim,1.0,18.1
gemeinde,NI:Katlenburg-Lindau,1.0,17.8
gemeinde,BY:Nürnberg (Teil),1.0,17.0
wahlkreis,247,4.0,43.2
wahlkreis,227,3.0,35.6
wahlkreis,180,3.0,49.9
wahlkreis,246,2.0,23.2
wahlkreis,250,2.0,38.8
wahlkreis,239,2.0,34.7
wahlkreis,98,2.0,29.5
wahlkreis,49,2.0,22.3
wahlkreis,248,2.0,60.4
wahlkreis,214,2.0,21.3
wahlkreis,23,2.0,55.0
wahlkreis,256,2.0,31.6
wahlkreis,281,2.0,31.6
wahlkreis,251,1.0,18.8
wahlkreis,236,1.0,10.5
wahlkreis,221,1.0,12.0
wahlkreis,294,1.0,15.0
wahlkreis,230,1.0,21.3
wahlkreis,231,1.0,24.7
wahlkreis,232,1.0,9.3
