land,wkr,land_code,kreis_code,gemeinde_code,wbz,gemeinde,bezirksart,valid,bsw,bd,bsw_pred,lam,p0_bb,log10_p0,bd_pct,n_nbr,nbr_gt0,nbr_med_pct,nbr_max_bsw,ew24_pct,ew24_votes,ew24_valid,ew24_level,bsw_pos,bd_pos,ballot_dist,ballot_adj,rws_urne,rws_brief,rws_resid,flags,recount_status,source,claim
BY,248,9,77,177,11,"Rieneck, St",Brief,844,0,16,4.533,38.26,1.5626063390609475e-07,-6.81,1.896,37,37,3.63,31.0,4.22,465,11016,gemeinde,17,16,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,
SH,7,1,56,50,000007,"Wedel, Stadt",Urne,780,0,31,4.297,33.52,6.332775860836892e-07,-6.2,3.974,20,20,3.62,69.0,4.65,786,16893,gemeinde,13,12,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,not_recounted,BSW Erwiderung (Lipinski),"BD=31, BSW=0"
HH,23,2,6,0,601906,"Hamburg, Freie und Hansestadt, Bezirk Bergedorf",Brief,612,0,23,4.803,29.4,7.800862032026764e-07,-6.11,3.758,139,139,4.41,77.0,4.92,42586,865286,land,13,12,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,
HE,180,6,36,6,99092,"Hochheim am Main, Stadt",Brief,619,0,20,4.594,28.44,1.3352372394016304e-06,-5.87,3.231,37,37,4.55,92.0,4.59,662,14414,gemeinde,14,13,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,
NI,31,3,54,35,992,"Meppen, Stadt",Brief,759,0,18,3.412,25.9,1.4389388233963568e-05,-4.84,2.372,44,44,2.52,31.0,3.86,696,18041,gemeinde,16,15,1,True,5.197,4.539,-0.013,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,
HH,20,2,3,0,032118,"Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel",Urne,693,0,33,3.716,25.75,9.240634452065679e-06,-5.03,4.762,298,298,2.99,56.0,4.92,42586,865286,land,13,12,1,True,5.197,4.539,-0.013,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,
NW,127,5,66,88,6,"Tecklenburg, Stadt",Brief,735,0,17,3.425,25.17,1.6555710353700195e-05,-4.78,2.313,7,7,3.17,48.0,3.72,195,5235,gemeinde,16,15,1,True,5.197,4.539,-0.013,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,
SH,1,1,1,0,000014,"Flensburg, Stadt",Urne,840,0,4,2.947,24.75,4.015671504759904e-05,-4.4,0.476,67,67,3.29,53.0,5.05,2101,41591,gemeinde,13,12,1,True,5.197,4.539,-0.013,suspicious_zero,unknown,,
NI,43,3,41,12,11347,"Neustadt am Rübenberge, Stadt",Urne,479,0,4,4.876,23.36,3.958930168707447e-06,-5.4,0.835,62,62,3.59,42.0,3.82,864,22629,gemeinde,16,15,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd,unknown,,
HH,22,2,5,0,052664,"Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil)",Urne,506,0,21,4.411,22.32,9.173625230455366e-06,-5.04,4.15,481,480,4.07,70.0,4.92,42586,865286,land,13,12,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,
RP,198,7,41,75,402,"Lahnstein, Stadt",Brief,691,0,0,3.224,22.28,4.4066293346684415e-05,-4.36,0.0,18,18,4.57,68.0,4.94,398,8058,gemeinde,14,13,1,True,5.197,4.539,-0.013,suspicious_zero,unknown,,
HE,180,6,36,2,90001,"Eppstein, Stadt",Brief,471,0,14,4.604,21.69,8.977657642444746e-06,-5.05,2.972,19,19,3.29,24.0,3.52,270,7660,gemeinde,14,13,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,
BY,256,9,80,120,04,Durach,Urne,438,0,0,4.738,20.75,1.0548695917642963e-05,-4.98,0.0,11,9,1.92,19.0,3.2,128,4005,gemeinde,17,16,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid,unknown,,
NI,45,3,57,9,01,Ilsede,Urne,498,0,12,4.134,20.59,2.1163806563768635e-05,-4.67,2.41,52,52,3.81,42.0,4.2,924,21990,gemeinde,16,15,1,True,5.197,4.539,-0.013,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,
