model,median,ci5,ci95,p_cross
conservative,1832.0,1592.0,2078.0,0.0
full_uniform,29729.5,19306.0,43459.0,1.0
bias_adjusted,7175.0,2607.9500000000003,21765.0,0.33988
pi=1%,4257.0,2082.0,20008.149999999987,0.20956
pi=2%,4542.5,2342.0,20188.199999999983,0.21716
pi=5%,5339.0,3043.0,20386.09999999999,0.23668
pi=10%,6777.0,4143.0,21157.199999999983,0.2907
pi=15%,8219.0,5168.0,21773.09999999999,0.37248
pi=20%,9651.0,6169.0,22455.149999999987,0.51578
pi=30%,12508.0,8130.950000000001,23811.299999999974,0.84104
pi=50%,17787.0,11722.0,27581.049999999996,0.9928
