f,n_apply,median,p_cross,ci5,ci95
0.0010731645729436274,102,31.0,0.0,17.0,49.0
0.001094207015550365,104,31.0,0.0,17.0,50.0
0.01,950,289.0,0.0,182.0,432.0
0.02,1900,578.0,0.0,367.0,861.0
0.05,4752,1444.0,0.0,927.95,2141.0
0.1,9504,2891.0,0.0,1857.0,4290.0
0.15,14256,4336.0,0.0003,2782.0,6427.149999999998
0.2,19009,5783.5,0.0162,3708.0,8565.05
0.3,28513,8674.0,0.3554,5591.75,12840.099999999999
0.5,47523,14448.0,0.9411,9305.75,21417.05
0.75,71284,21686.5,0.9967,13950.85,32077.1
1.0,95046,28915.0,0.9998,18587.8,42856.69999999999
