land,wahlkreis,gemeinde,wbz,bezirksart,valid_total,bsw_votes,bd_votes,bsw_pred_pct,lambda,p0_bb,p_tail,miss_lb,bd_pctile,overlay_score,composite
SL,297,Saarwellingen,B1,5,2894,193,6,13.137,380.18,2.717228434198077e-35,0.000598,187.2,0.4715,1.0,280.79999999999995
SH,7,"Wedel, Stadt",000007,0,780,0,31,3.616,28.21,4.556229181937555e-06,5e-06,28.2,0.9997,9.0,155.1
SL,297,Saarwellingen,3,0,1190,67,3,13.41,159.57,1.31858130386457e-25,7.5e-05,92.6,0.5714,1.0,138.89999999999998
SL,297,Saarwellingen,5,0,1334,89,0,13.221,176.36,1.65523771170849e-26,0.000952,87.4,0.163,1.0,131.10000000000002
SL,297,Saarwellingen,2,0,1064,65,0,12.971,138.01,1.4275713972454564e-23,0.00056,73.0,0.163,1.0,109.5
SL,297,Saarwellingen,4,0,1005,65,2,13.451,135.18,7.998099912861037e-24,0.000626,70.2,0.4496,1.0,105.30000000000001
NW,119,"Essen, Stadt (Teil)",1306,0,842,12,2,9.752,82.11,6.026317577128792e-16,0.0,70.1,0.7881,1.0,105.14999999999999
SL,297,Saarwellingen,1,0,1149,87,1,13.441,154.43,2.8231665672140115e-25,0.004099,67.4,0.3295,1.0,101.10000000000001
BY,251,Augsburg,0302,0,733,0,23,3.69,27.05,5.2774470513080635e-06,5e-06,27.0,0.9999,5.0,94.5
HE,180,"Hochheim am Main, Stadt",99092,5,619,0,20,4.241,26.25,2.831818342131099e-06,3e-06,26.3,0.9997,5.0,92.05
NW,119,"Essen, Stadt (Teil)",1302,0,826,25,1,10.352,85.51,9.36391112142607e-17,1.9e-05,60.5,0.5561,1.0,90.75
HH,20,"Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel",032118,0,693,0,33,3.725,25.82,6.710480826145674e-06,7e-06,25.8,1.0,5.0,90.3
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Bergedorf",601906,5,612,0,23,4.196,25.68,3.514503858299894e-06,4e-06,25.7,0.9985,5.0,89.95
BY,248,"Rieneck, St",11,5,844,0,16,3.536,29.84,3.671757565328917e-06,4e-06,29.8,0.9992,4.0,89.4
ST,67,"Staßfurt, Stadt",310005,0,847,51,2,12.548,106.28,1.6166044477407227e-20,0.001188,55.3,0.4831,1.0,82.94999999999999
BB,61,Kleinmachnow,9004,5,1110,30,0,7.617,84.55,3.169545984552252e-14,0.000785,54.5,0.2214,1.0,81.75
BE,74,"Berlin, Stadt, Bezirk Mitte, Berlin-West",7C,5,1002,33,0,8.628,86.45,2.4387823798459076e-15,0.00081,53.5,0.24,1.0,80.25
SN,151,"Leipzig, Stadt (Teil)",000986,5,955,22,0,7.894,75.39,9.094211897007064e-14,0.000146,53.4,0.1479,1.0,80.1
NI,31,"Meppen, Stadt",992,5,759,0,18,3.522,26.73,7.451911992051799e-06,7e-06,26.7,0.9989,4.0,80.1
TH,191,"Ohrdruf, Stadt",0002,0,517,20,7,9.889,51.12,1.299026407589967e-12,0.001432,31.1,0.9883,3.0,77.75
NW,86,"Aachen, Stadt",9050,5,1021,15,2,6.476,66.12,9.853513884327271e-12,8.4e-05,51.1,0.7244,1.0,76.65
BE,74,"Berlin, Stadt, Bezirk Mitte, Berlin-Ost",1F,5,958,27,1,8.101,77.61,3.878055876769844e-14,0.00056,50.6,0.4864,1.0,75.9
NW,86,"Aachen, Stadt",9051,5,1288,35,0,6.626,85.34,2.9662699156007906e-13,0.004375,50.3,0.2513,1.0,75.44999999999999
SN,152,"Leipzig, Stadt (Teil)",000918,5,1153,41,3,7.897,91.06,5.598456267558437e-15,0.004641,50.1,0.556,1.0,75.15
NW,86,"Aachen, Stadt",9047,5,997,10,0,5.998,59.8,8.54560899553603e-11,2.2e-05,49.8,0.2513,1.0,74.69999999999999
