party,sum_abs_error,mean_abs_error,sum_sq_error,rmse,sum_true_votes,abs_error_pct_of_votes,mean_abs_error_per_row
SPD,816492.2500072697,9.4838401496901,15238485.702330507,13.304145478989648,7996171.0,0.10211040384294803,9.4838401496901
GRÜNE,685232.7120304294,7.9592151746417175,11100031.052830614,11.354765671657173,5688340.0,0.12046268542851331,7.9592151746417175
CDU,677990.5530680773,7.8750949910919275,11472301.235982262,11.543602146374113,10939823.0,0.061974545023998774,7.8750949910919275
Die Linke,655613.6622837405,7.615179657855348,11534200.198599517,11.57470208660716,4282063.0,0.1531069632286448,7.615179657855348
BSW,635673.7721464608,7.383570930812735,10329351.153539807,10.953492119965693,2410638.0,0.2636952425650225,7.383570930812735
AfD,561729.8191528285,6.524686317735804,9201350.925478324,10.338127319042544,9973953.0,0.05631967777999641,6.524686317735804
FDP,373648.707448894,4.340059092480155,3143368.498285268,6.042459211883611,2103217.0,0.17765580415567864,4.340059092480155
FREIE WÄHLER,262928.8941230195,3.0540101300107962,1940432.5552250072,4.74750417564326,739500.0,0.3555495525666254,3.0540101300107962
Tierschutzpartei,243295.42319179513,2.8259605681274333,1264366.7536917012,3.8322392360178594,473911.0,0.5133778772634421,2.8259605681274333
CSU,240881.21207803485,2.7979186702523418,2780553.575319189,5.6830530872209115,2867147.0,0.08401425252281618,2.7979186702523418
Volt,151251.87178783084,1.7568428535169043,496950.1930512472,2.4025504228127654,350044.0,0.4320938847340073,1.7568428535169043
Die PARTEI,134757.86976828962,1.565259309912416,378028.04988531204,2.095453810272927,238049.0,0.5660929882851413,1.565259309912416
dieBasis,77361.21275483242,0.8985772682428586,138734.30797366757,1.2694278302812134,83669.0,0.9246102230794251,0.8985772682428586
BÜNDNIS DEUTSCHLAND,65376.94375316566,0.759375834889778,99291.84021453443,1.073922296290331,74178.0,0.8813522035261891,0.759375834889778
SSW,58685.719478790954,0.6816549484718961,569755.701095192,2.5725298278192446,74095.0,0.7920334635102363,0.6816549484718961
ÖDP,43752.702302717444,0.508202784230047,72939.53329730514,0.9204444201463878,48310.0,0.9056655413520481,0.508202784230047
Team Todenhöfer,35975.608825745636,0.41786915110108414,56994.95027190607,0.8136437050683902,24467.0,1.4703726989719066,0.41786915110108414
PdF,32584.92941650621,0.37848523592517636,39630.11807536642,0.6784670524127879,21290.0,1.530527450282114,0.37848523592517636
MLPD,26361.54745519544,0.3061984999383857,23436.485753890986,0.5217498400908698,19147.0,1.3767977988820932,0.3061984999383857
PIRATEN,22909.176796805994,0.2660980195463742,26432.249592557724,0.5540936109906005,13561.0,1.6893427326012826,0.2660980195463742
PdH,22211.675211204583,0.257996297157778,18685.210522752066,0.46587035638208624,14034.0,1.5827045183985025,0.257996297157778
Bündnis C,20932.782799424076,0.24314151904828588,28981.007141788028,0.580193442778385,11555.0,1.811577914272962,0.24314151904828588
BP,13762.259447446757,0.15985340791291694,14942.795029419143,0.4166122146475141,11933.0,1.1532941797910632,0.15985340791291694
MERA25,12462.021776745794,0.14475069723143338,10562.18933231823,0.3502620243134657,6970.0,1.7879514744255085,0.14475069723143338
WerteUnion,11798.478997747066,0.13704341813790977,10084.398094506018,0.3422481191180639,6691.0,1.7633356744503164,0.13704341813790977
MENSCHLICHE WELT,1843.7441288203308,0.021415726351972062,1646.4518521242567,0.13828994271627212,693.0,2.660525438413176,0.021415726351972062
BüSo,1390.2292101890778,0.016147993567294412,731.3847257840397,0.09216988006938306,676.0,2.0565520860785176,0.016147993567294412
SGP,938.621276227063,0.01090241106973927,493.1357524716816,0.07568317175095389,425.0,2.208520649946031,0.01090241106973927
Verjüngungsforschung,828.6432291179422,0.009624977978673552,512.1535661047748,0.07712872989692125,303.0,2.7347961357027795,0.009624977978673552
