party,sum_abs_error,mean_abs_error,sum_sq_error,rmse,sum_true_votes,abs_error_pct_of_votes,mean_abs_error_per_row
SPD,816492.2500072765,9.48384014969018,15238485.702330636,13.304145478989703,7996171.0,0.1021104038429489,9.48384014969018
GRÜNE,685232.7120304274,7.959215174641694,11100031.052830491,11.354765671657109,5688340.0,0.12046268542851296,7.959215174641694
CDU,677990.5530680824,7.875094991091987,11472301.235982196,11.54360214637408,10939823.0,0.06197454502399924,7.875094991091987
Die Linke,655613.662283728,7.615179657855204,11534200.198599499,11.574702086607152,4282063.0,0.1531069632286419,7.615179657855204
BSW,635673.7721464589,7.383570930812713,10329351.153539935,10.95349211996576,2410638.0,0.26369524256502175,7.383570930812713
AfD,561729.8191528295,6.5246863177358145,9201350.925478425,10.3381273190426,9973953.0,0.0563196777799965,6.5246863177358145
FDP,373648.7074488985,4.340059092480208,3143368.4982852447,6.042459211883589,2103217.0,0.1776558041556808,4.340059092480208
FREIE WÄHLER,262928.89412301884,3.0540101300107887,1940432.555225009,4.747504175643263,739500.0,0.3555495525666245,3.0540101300107887
Tierschutzpartei,243295.42319179585,2.825960568127442,1264366.753691696,3.8322392360178514,473911.0,0.5133778772634436,2.825960568127442
CSU,240881.21207803488,2.7979186702523418,2780553.5753191956,5.683053087220918,2867147.0,0.08401425252281619,2.7979186702523418
Volt,151251.87178783165,1.7568428535169138,496950.19305124076,2.4025504228127494,350044.0,0.4320938847340096,1.7568428535169138
Die PARTEI,134757.8697682882,1.5652593099123993,378028.04988531483,2.0954538102729345,238049.0,0.5660929882851353,1.5652593099123993
dieBasis,77361.21275483195,0.8985772682428531,138734.3079736673,1.2694278302812123,83669.0,0.9246102230794195,0.8985772682428531
BÜNDNIS DEUTSCHLAND,65376.943753165106,0.7593758348897716,99291.84021453348,1.0739222962903259,74178.0,0.8813522035261817,0.7593758348897716
SSW,58685.71947879069,0.6816549484718931,569755.7010951915,2.572529827819243,74095.0,0.7920334635102327,0.6816549484718931
ÖDP,43752.70230271775,0.5082027842300506,72939.53329730468,0.920444420146385,48310.0,0.9056655413520545,0.5082027842300506
Team Todenhöfer,35975.60882574553,0.41786915110108286,56994.95027190595,0.8136437050683893,24467.0,1.470372698971902,0.41786915110108286
PdF,32584.929416505594,0.37848523592516925,39630.11807536604,0.6784670524127846,21290.0,1.5305274502820851,0.37848523592516925
MLPD,26361.547455195763,0.30619849993838943,23436.48575389089,0.5217498400908688,19147.0,1.37679779888211,0.30619849993838943
PIRATEN,22909.176796805597,0.2660980195463696,26432.249592557804,0.5540936109906013,13561.0,1.6893427326012533,0.2660980195463696
PdH,22211.675211204405,0.25799629715777594,18685.210522752386,0.46587035638209023,14034.0,1.5827045183984898,0.25799629715777594
Bündnis C,20932.78279942389,0.2431415190482837,28981.007141788068,0.5801934427783855,11555.0,1.811577914272946,0.2431415190482837
BP,13762.259447446766,0.15985340791291702,14942.79502941911,0.41661221464751363,11933.0,1.1532941797910639,0.15985340791291702
MERA25,12462.021776745738,0.14475069723143272,10562.189332317957,0.35026202431346115,6970.0,1.7879514744255005,0.14475069723143272
WerteUnion,11798.478997746952,0.13704341813790843,10084.398094506005,0.3422481191180637,6691.0,1.7633356744502993,0.13704341813790843
MENSCHLICHE WELT,1843.7441288203363,0.021415726351972128,1646.4518521242258,0.13828994271627082,693.0,2.660525438413184,0.021415726351972128
BüSo,1390.2292101890746,0.016147993567294374,731.3847257840514,0.0921698800693838,676.0,2.0565520860785127,0.016147993567294374
SGP,938.6212762270605,0.010902411069739241,493.1357524716798,0.07568317175095375,425.0,2.208520649946025,0.010902411069739241
Verjüngungsforschung,828.6432291179343,0.009624977978673462,512.1535661047717,0.07712872989692102,303.0,2.7347961357027537,0.009624977978673462
