party,sum_abs_error,mean_abs_error,sum_sq_error,rmse,sum_true_votes,abs_error_pct_of_votes,mean_abs_error_per_row
SPD,816492.2467960569,9.48384011239075,15238485.702759016,13.304145479176704,7996171.0,0.10211040344135422,9.48384011239075
GRÜNE,685232.7080436038,7.9592151283333585,11100031.0534852,11.354765671991975,5688340.0,0.1204626847276365,7.9592151283333585
CDU,677990.5442934395,7.875094889171471,11472301.236261507,11.543602146514603,10939823.0,0.061974544221916526,7.875094889171471
Die Linke,655613.6622521856,7.615179657488827,11534200.198678942,11.574702086647013,4282063.0,0.15310696322127573,7.615179657488827
BSW,635673.7740043465,7.38357095239272,10329351.153925363,10.95349212017012,2410638.0,0.2636952433357254,7.38357095239272
AfD,561729.805817076,6.524686162836421,9201350.927325886,10.338127320080453,9973953.0,0.056319676442938525,6.524686162836421
FDP,373648.707432769,4.340059092292858,3143368.498375334,6.042459211970177,2103217.0,0.17765580414801183,4.340059092292858
FREIE WÄHLER,262928.8948140232,3.054010138037044,1940432.5552862966,4.747504175718237,739500.0,0.3555495535010456,3.054010138037044
Tierschutzpartei,243295.4232072626,2.825960568307093,1264366.7537157547,3.832239236054312,473911.0,0.5133778772960801,2.825960568307093
CSU,240881.18855912483,2.79791839707206,2780553.5759954257,5.6830530879119765,2867147.0,0.0840142443199197,2.79791839707206
Volt,151251.87179306435,1.7568428535776932,496950.1930672987,2.4025504228515664,350044.0,0.43209388474895827,1.7568428535776932
Die PARTEI,134757.8697469592,1.5652593096646554,378028.049893336,2.095453810295166,238049.0,0.5660929881955361,1.5652593096646554
dieBasis,77361.21266948746,0.8985772672515473,138734.30797648407,1.2694278302940991,83669.0,0.9246102220593942,0.8985772672515473
BÜNDNIS DEUTSCHLAND,65376.94372948658,0.7593758346147373,99291.84021656135,1.0739222963012924,74178.0,0.8813522032069694,0.7593758346147373
SSW,58685.71895216236,0.6816549423549226,569755.7011543579,2.5725298279528155,74095.0,0.792033456402758,0.6816549423549226
ÖDP,43752.70235307595,0.5082027848149785,72939.53329961473,0.9204444201609605,48310.0,0.9056655423944514,0.5082027848149785
Team Todenhöfer,35975.60887552174,0.4178691516792508,56994.950273946066,0.8136437050829514,24467.0,1.4703727010063246,0.4178691516792508
PdF,32584.9294652854,0.3784852364917636,39630.11807630118,0.6784670524207895,21290.0,1.5305274525732926,0.3784852364917636
MLPD,26361.54741734134,0.3061984994986972,23436.485754431676,0.5217498400968883,19147.0,1.376797796905068,0.3061984994986972
PIRATEN,22909.176826112773,0.26609801988678256,26432.249593121203,0.5540936109965066,13561.0,1.6893427347623902,0.26609801988678256
PdH,22211.675196560212,0.25799629698767856,18685.210523076246,0.4658703563861276,14034.0,1.58270451735501,0.25799629698767856
Bündnis C,20932.782937952637,0.24314152065734307,28981.00714316626,0.580193442792181,11555.0,1.811577926261587,0.24314152065734307
BP,13762.25944147017,0.1598534078434968,14942.79502992654,0.4166122146545873,11933.0,1.153294179290218,0.1598534078434968
MERA25,12462.021802072222,0.14475069752560862,10562.189332601816,0.35026202431816783,6970.0,1.7879514780591423,0.14475069752560862
WerteUnion,11798.479025853236,0.13704341846437265,10084.398094774519,0.34224811912262015,6691.0,1.7633356786509096,0.13704341846437265
MENSCHLICHE WELT,1843.7441463860187,0.021415726556003607,1646.4518521467444,0.13828994271721654,693.0,2.6605254637604885,0.021415726556003607
BüSo,1390.2292153325457,0.01614799362703757,731.3847258211603,0.09216988007172205,676.0,2.056552093687198,0.01614799362703757
SGP,938.62128059267,0.010902411120447307,493.1357524788175,0.07568317175150148,425.0,2.208520660218047,0.010902411120447307
Verjüngungsforschung,828.6432369072909,0.009624978069149534,512.1535661103915,0.07712872989734418,303.0,2.734796161410201,0.009624978069149534
