land,wahlkreis,gemeinde,bezirksart,valid_total,bsw_pred_pct,lambda_,p0_bb,expected_missing
BY,248,"Rieneck, St",Brief,844,4.482,37.83,2.21e-09,37.8
SH,1,"Flensburg, Stadt",Urne,840,4.219,35.44,7.58e-09,35.4
SH,7,"Wedel, Stadt",Urne,780,4.357,33.99,9.28e-09,34.0
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Bergedorf",Brief,612,5.273,32.27,3.97e-09,32.3
HH,20,"Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel",Urne,693,4.104,28.44,9.15e-08,28.4
NI,31,"Meppen, Stadt",Brief,759,3.481,26.42,5.06e-07,26.4
NI,43,"Neustadt am Rübenberge, Stadt",Urne,479,5.476,26.23,3.63e-08,26.2
NW,127,"Tecklenburg, Stadt",Brief,735,3.177,23.35,2.34e-06,23.4
RP,198,"Lahnstein, Stadt",Brief,691,3.355,23.18,1.86e-06,23.2
HE,180,"Hochheim am Main, Stadt",Brief,619,3.694,22.86,1.27e-06,22.9
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Harburg",Urne,411,5.523,22.7,1.75e-07,22.7
NI,45,Ilsede,Urne,498,4.141,20.62,1.79e-06,20.6
HH,22,"Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil)",Urne,506,4.036,20.42,2.19e-06,20.4
NW,98,Reichshof,Urne,483,4.226,20.41,1.78e-06,20.4
BY,251,Augsburg,Urne,733,2.566,18.81,2.94e-05,18.8
BY,250,Veitshöchheim,Brief,823,2.195,18.07,7.09e-05,18.1
NI,52,Katlenburg-Lindau,Urne,544,3.273,17.81,1.58e-05,17.8
SH,10,Stapelfeld,Urne,431,3.769,16.25,1.83e-05,16.2
HE,180,"Eppstein, Stadt",Brief,471,3.415,16.09,2.79e-05,16.1
BW,281,Gottenheim,Urne,500,3.212,16.06,3.50e-05,16.1
BW,281,"Freiburg im Breisgau, Stadt",Brief,448,3.476,15.57,3.31e-05,15.6
BY,231,Poppenricht,Brief,592,2.626,15.55,8.68e-05,15.5
NI,36,Tespe,Urne,372,4.177,15.54,1.82e-05,15.5
BY,256,Durach,Urne,438,3.525,15.44,3.36e-05,15.4
BW,294,Achberg,Brief,351,4.283,15.03,2.18e-05,15.0
BY,214,Gröbenzell,Brief,678,2.07,14.03,3.31e-04,14.0
BY,235,Frensdorf,Brief,428,3.222,13.79,9.51e-05,13.8
NI,53,Rhumspringe,Urne,481,2.852,13.72,1.41e-04,13.7
BY,215,"Kösching, M",Brief,462,2.951,13.63,1.33e-04,13.6
MV,16,Neetzow-Liepen,Urne,138,9.873,13.63,5.54e-06,13.6
BY,256,Durach,Brief,434,3.135,13.61,1.12e-04,13.6
BW,259,"Stuttgart, Landeshauptstadt (Teil)",Brief,593,2.254,13.37,3.27e-04,13.4
HE,175,"Friedrichsdorf, Philipp-Reis-Stadt",Urne,504,2.605,13.13,2.36e-04,13.1
BY,245,Schwarzenbruck,Brief,482,2.682,12.93,2.38e-04,12.9
BY,244,Nürnberg (Teil),Brief,382,3.372,12.88,1.30e-04,12.9
BY,241,Erlangen,Urne,528,2.303,12.16,4.98e-04,12.2
HE,166,Breuna,Urne,274,4.127,11.31,1.85e-04,11.3
NW,148,Finnentrop,Urne,296,3.782,11.19,2.39e-04,11.2
SN,157,Reinhardtsdorf-Schöna,Brief,152,7.26,11.04,7.17e-05,11.0
HE,180,"Eschborn, Stadt",Urne,512,2.132,10.92,1.01e-03,10.9
BY,246,"Schöllkrippen, M",Brief,354,3.052,10.8,4.71e-04,10.8
BY,246,"Stockstadt a.Main, M",Brief,354,2.989,10.58,5.52e-04,10.6
RP,210,Knöringen,Urne,211,4.952,10.45,2.17e-04,10.4
BY,248,Mittelsinn,Brief,286,3.585,10.25,4.53e-04,10.3
BY,227,"Rottenburg a.d.Laaber, St",Urne,270,3.776,10.19,4.24e-04,10.2
NW,98,"Bergneustadt, Stadt",Urne,225,4.016,9.04,7.67e-04,9.0
BY,239,"Ebensfeld, M",Brief,400,2.209,8.84,2.40e-03,8.8
NI,49,Sickte,Urne,159,5.217,8.29,8.61e-04,8.3
BY,213,Münchsmünster,Brief,270,3.014,8.14,2.07e-03,8.1
BY,255,"Fischach, M",Brief,445,1.819,8.09,4.79e-03,8.1
BY,221,Raubling,Urne,326,2.477,8.07,2.91e-03,8.1
BY,239,"Rattelsdorf, M",Urne,227,3.551,8.06,1.70e-03,8.1
BB,65,"Schönewalde, Stadt",Urne,63,11.671,7.35,7.53e-04,7.4
HE,172,"Romrod, Stadt",Urne,146,5.004,7.31,1.85e-03,7.3
BY,214,Bergkirchen,Urne,256,2.846,7.28,3.71e-03,7.3
BY,250,Riedenheim,Urne,242,2.968,7.18,3.73e-03,7.2
BY,247,"Oberelsbach, M",Urne,177,4.015,7.11,2.72e-03,7.1
BY,230,"Regen, St",Urne,304,2.198,6.68,7.33e-03,6.7
BY,253,"Pöttmes, M",Urne,193,3.443,6.65,4.41e-03,6.6
HE,168,"Bebra, Stadt",Urne,148,4.488,6.64,3.36e-03,6.6
NI,34,Grasberg,Urne,218,2.953,6.44,5.96e-03,6.4
RP,200,Sonnenberg-Winnenberg,Urne,191,3.313,6.33,5.67e-03,6.3
BY,247,Untermerzbach,Urne,167,3.768,6.29,5.10e-03,6.3
BY,227,"Rottenburg a.d.Laaber, St",Urne,157,3.98,6.25,5.00e-03,6.2
BY,232,"Hemau, St",Urne,275,2.245,6.17,9.52e-03,6.2
BW,295,"Bad Saulgau, Stadt",Urne,213,2.871,6.11,7.55e-03,6.1
BY,252,"Zusmarshausen, M",Urne,184,3.289,6.05,6.87e-03,6.1
BY,236,Prebitz,Urne,197,2.93,5.77,9.25e-03,5.8
BY,242,"Scheinfeld, St",Urne,156,3.65,5.69,8.02e-03,5.7
BY,247,Hausen,Urne,183,3.08,5.64,9.68e-03,5.6
NI,49,Vahlberg,Urne,105,5.365,5.63,6.20e-03,5.6
NI,46,Emmerthal,Urne,149,3.673,5.47,9.34e-03,5.5
BY,247,"Maßbach, M",Urne,134,4.074,5.46,8.71e-03,5.5
BY,227,"Rottenburg a.d.Laaber, St",Urne,116,4.668,5.41,8.14e-03,5.4
