party,R2,Spearman,Spearman_p,MAE_pp,MSE_pp2,RMSE_pp,Mean_share
CSU,0.9824031634914135,0.7065085401844342,0.0,0.9122764568869905,4.0765963163822905,2.0190582746375325,7.177643604663591
CDU,0.9637797667091657,0.9762141972947117,0.0,1.7973891929352164,6.580653533337184,2.5652784514233895,21.41788800849999
AfD,0.9572088271188387,0.9729157311629629,0.0,1.6792971660410436,6.24558602379609,2.4991170488386674,22.42060924056437
SSW,0.9119906130111416,0.31747660704244984,0.0,0.07161845022136146,0.08143169056241056,0.2853623846312099,0.13248107659005617
GRÜNE,0.9056739025400236,0.9404753698964013,0.0,1.5505219569477817,4.537295806445367,2.1300929102847523,10.756290433303858
Die Linke,0.8576540367862822,0.9001864800083427,0.0,1.4676250969625821,4.8716225550627295,2.207175243396575,8.533858636670256
SPD,0.8540481302628556,0.92887910041904,0.0,1.8022020753262362,5.6621299823657845,2.379523057750394,15.790765977908485
FREIE WÄHLER,0.7725713182218461,0.8035469771989298,0.0,0.6677473034889896,1.131405370897572,1.0636754067372114,1.7476704445931257
BSW,0.6305073185487208,0.7298745199750181,0.0,1.3482502811423034,3.5069878512957313,1.8726953439616736,4.997071981506415
FDP,0.5943663724733672,0.7650973211499554,0.0,0.894081533432299,1.4727639898648268,1.2135748802051016,4.240334837683221
ÖDP,0.4262924758029,0.6518017229928827,0.0,0.09848461914180155,0.04448076754536498,0.21090464088152489,0.11253172730497317
MENSCHLICHE WELT,0.42589454441224783,0.11705549826469457,3.9801015857607085e-287,0.0016875795247276257,0.0003288058901312975,0.018133005546000846,0.0012922463062058102
Tierschutzpartei,0.3714448843815601,0.6307709440804515,0.0,0.44032640422825403,0.36999904488718394,0.6082754679314167,0.9410970189543106
Volt,0.36927062582762715,0.5713576012059987,0.0,0.3423227139768125,0.20991932994867502,0.4581695427990331,0.6672783928325647
PdF,0.35525293753762677,0.5395704629534549,0.0,0.036404479518392596,0.008675295119953606,0.09314126432443144,0.03648598025524333
PIRATEN,0.34674343068989044,0.459059259208744,0.0,0.030317187331508098,0.007626553040593397,0.08733013821467019,0.02701830819682906
dieBasis,0.3355509725642839,0.6329780355246638,0.0,0.14291908787565086,0.0580566389568692,0.24094945311593716,0.17675873723606844
BP,0.32642878904782957,0.44456406679434335,0.0,0.036103034939055166,0.009978657215739093,0.09989322907854713,0.029433124958232717
Team Todenhöfer,0.32445734770269885,0.5316597965631478,0.0,0.0501780304645441,0.016697256332902134,0.12921786383044,0.04398476494520721
Verjüngungsforschung,0.27831155658352813,0.08760958104091489,2.811306588963205e-161,0.0009272434550938884,0.0001179014296365559,0.010858242474569993,0.0005436457695565112
Bündnis C,0.2055695941930451,0.40261340976216664,0.0,0.028635304790843877,0.014495626414307204,0.12039778409218005,0.022999585746734167
WerteUnion,0.20024174614739876,0.34173055582667994,0.0,0.017847218979661243,0.0032794002425374637,0.057266047903949714,0.011615951471224947
Die PARTEI,0.1900125340031411,0.4294117221227668,0.0,0.29049526874617126,0.15849854599936275,0.39811875866299334,0.47455812514612433
MERA25,0.17205942123897833,0.34154034797125316,0.0,0.02114938787212777,0.003691989900552629,0.06076174701695656,0.012868618428075228
PdH,0.14845770272034864,0.4083894718383192,0.0,0.04354565656426065,0.008171096042527982,0.0903941150879192,0.029065030651266067
MLPD,0.13759255202278975,0.2589183388919754,0.0,0.05649410398557732,0.011521628801554537,0.1073388503830488,0.03883778218279494
BüSo,0.12824477065156592,0.14221398109830335,0.0,0.002560534499755766,0.0002886707927238469,0.016990314674067898,0.001332230169713785
SGP,0.06243872329156208,0.1130495199442007,7.848746065031405e-268,0.0017781751782236996,0.00021290340044346513,0.014591209697741483,0.0008504178299342765
BÜNDNIS DEUTSCHLAND,0.04929908421696849,0.28802232064376276,0.0,0.16351631372476896,0.06311117785102724,0.25121938191753285,0.15683406963157331
